,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
8,5426,Solana,SOL,solana,327,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio']",,342076776.4843709,511616946.142289,,9,,,2022-06-13T00:09:00.000Z,30.674432003190127,1439158519.3901718,32.8212,-2.30946319,-9.76410161,-20.52251901,-37.62599354,-70.81375555,-62.21915947,10493010820.140303,0.9732,15693559226.12,2022-06-13T00:09:00.000Z,,,,,,2022-06-13 12:12:43.347600
9,74,Dogecoin,DOGE,dogecoin,484,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,132670764299.89409,132670764299.89409,,10,,,2022-06-13T00:10:00.000Z,0.06376247794825757,711333463.0697919,42.6177,-2.40046641,-9.3113335,-21.47013331,-28.2909089,-54.47901604,-44.11520944,8459416683.050474,0.7863,8459416683.05,2022-06-13T00:10:00.000Z,,,,,,2022-06-13 12:12:43.347600
10,6636,Polkadot,DOT,polkadot-new,351,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain']",,987579314.957085,1103303471.382273,,11,904869778.0,6712050484.512755,2022-06-13T00:10:00.000Z,7.417697714855889,545938428.9653664,20.4898,-2.24327028,-8.18080206,-20.89318438,-28.63347292,-59.18942125,-58.17335977,7325564827.796113,0.6794,8183971638.46,2022-06-13T00:10:00.000Z,2502.0,Huobi Token,HT,huobi-token,0xa2c49cee16a5e5bdefde931107dc1fae9f7773e3,2022-06-13 12:12:43.347600
11,3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,450,2019-01-30T00:00:00.000Z,"['medium-of-exchange', 'defi', 'wrapped-tokens', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem']",,273451.35490986,273451.35490986,,12,,,2022-06-13T00:09:00.000Z,26599.895462572746,447039990.5589213,47.0369,-1.75902236,-6.36606745,-11.08280485,-9.20211811,-35.41854495,-32.78983002,7273777454.701155,0.6746,7273777454.7,2022-06-13T00:09:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,2022-06-13 12:12:43.347600
12,1958,TRON,TRX,tron,619,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'bnb-chain']",,92537735914.3615,92537730726.6343,,13,71659659264.0,5450441832.914944,2022-06-13T00:09:00.000Z,0.07606011372221397,981675613.5649917,26.2368,-0.12319402,-0.22470964,-6.46281493,2.42196093,23.74067591,26.48565911,7038430717.242539,0.6528,7038430322.66,2022-06-13T00:09:00.000Z,,,,,,2022-06-13 12:12:43.347600
13,4943,Dai,DAI,multi-collateral-dai,992,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,6990096528.235188,6990096528.235188,,14,,,2022-06-13T00:09:00.000Z,0.9996304058350126,333791067.4553889,-7.0423,-0.04812211,-0.04681635,-0.05277812,-0.01878774,-0.04548725,-0.06111445,6987513029.345654,0.648,6987513029.35,2022-06-13T00:09:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2022-06-13 12:12:43.347600
14,3957,UNUS SED LEO,LEO,unus-sed-leo,19,2019-05-21T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",,953954130.0,985239504.0,,15,,,2022-06-13T00:09:00.000Z,5.505185096739122,6477366.69980507,-4.3267,0.12121804,0.05090886,8.4215783,8.96856344,-3.12630327,-6.20647368,5251694059.448734,0.4871,5423925834.14,2022-06-13T00:09:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,2022-06-13 12:12:43.347600
0,1,Bitcoin,BTC,bitcoin,9529,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",21000000.0,19066262.0,19066262.0,,1,,,2022-06-13T12:12:00.000Z,23841.923700347823,60946838286.747986,79.3711,-0.3710757,-13.29629226,-24.1374863,-17.76109156,-41.82015142,-38.30928257,454576363854.84106,46.9015,500680397707.3,2022-06-13T12:12:00.000Z,,,,,,2022-06-13 12:12:53.483056
1,1027,Ethereum,ETH,ethereum,5747,2015-08-07T00:00:00.000Z,"['mineable', 'pow', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'bnb-chain']",,121156378.999,121156378.999,,2,,,2022-06-13T12:11:00.000Z,1218.6438041347826,39925626427.65461,62.5735,0.06652326,-17.10366097,-36.2295385,-38.53445416,-60.42795137,-51.92265883,147646470598.53683,15.2336,147646470598.54,2022-06-13T12:11:00.000Z,,,,,,2022-06-13 12:12:53.483056
2,825,Tether,USDT,tether,34626,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin']",,72293981300.94582,79710622658.21005,,3,,,2022-06-13T12:11:00.000Z,0.9982955088678825,99866484507.99446,67.7675,0.02807824,-0.07058744,-0.10971484,0.02660953,-0.19142383,-0.19424789,72170756850.91289,7.4463,79574756608.75,2022-06-13T12:11:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2022-06-13 12:12:53.483056
